id,utterance,source,generation_strategy,model_name,prompt_text,tokens,pos_tags
1,"Li: ""昨天的 nightly build 挂了，你有看到吗?""
Sarah: ""Yeah, log 里面说是一个 dependency 没有 properly 安装.""
Li: ""我试过 rerun build, 还是 fail. 可能需要 pin version.""
Sarah: ""好，我开个 PR 去 lock version, 然后我们再 merge 一次.""
Li: ""OK，merge 完之后我会再跑一遍 CI.""
Sarah: ""等确认 pass 了，再准备 deploy 到 staging.""",LLM,"['Persona-based', 'Few-shot']",GPT-4,"You are an expert dataset generator for bilingual English–Mandarin code-switched technical dialogues. Act as a frontend engineer from Shanghai now working in San Francisco. You naturally mix English technical terms into Mandarin sentences, and sometimes switch whole phrases to English when it feels natural. Keep the tone pragmatic, casual, like real engineers chatting.
Few-shot examples:
Example 1:
A: ""Can you push the latest styles to staging?""
B: ""可以，我现在就 push. 不过 header 在 mobile 上看起来有点 weird.""
Example 2:
A: ""There's a bug in the login flow after the OAuth change.""
B: ""看一下 redirect URI, scope 好像没有 properly 设置.""
Example 3:
A: ""We need to ship before Friday's deadline.""
B: ""好，先 prioritize login 和 checkout, 其他功能可以等下个 sprint.""
Now: produce a dialogue between two engineers (Li and Sarah). Each dialogue should be 5–7 turns.
Requirements:
Use **English-Mandarin code-switching** at the **phrase level** (switch after a technical word or phrase).
Make sure at least one of the following trigger words appears in each dialogue: **deploy, build, bug, deadline, merge**.
Target ~35–50% Mandarin tokens per dialogue.
Use natural engineering register (issue, PR, deploy, QA, staging, workaround).
Keep turns short-to-medium.
Output only the dialogues. Do not repeat the few-shot examples.","['Li', ':', '""', '昨天的', 'nightly', 'build', '挂了，你有看到吗', '?', '""', '\n', 'Sarah', ':', '""', 'Yeah', ',', 'log', '里面说是一个', 'dependency', '没有', 'properly', '安装', '.', '""', '\n', 'Li', ':', '""', '我试过', 'rerun', 'build', ',', '还是', 'fail', '.', '可能需要', 'pin', 'version', '.', '""', '\n', 'Sarah', ':', '""', '好，我开个', 'PR', '去', 'lock', 'version', ',', '然后我们再', 'merge', '一次', '.', '""', '\n', 'Li', ':', '""', 'OK，merge', '完之后我会再跑一遍', 'CI', '.', '""', '\n', 'Sarah', ':', '""', '等确认', 'pass', '了，再准备', 'deploy', '到', 'staging', '.', '""']","['PROPN', 'PUNCT', 'PUNCT', 'NOUN', 'ADV', 'VERB', 'PROPN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'INTJ', 'PUNCT', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'ADV', 'PROPN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'VERB', 'NOUN', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'PUNCT', 'PROPN', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PROPN', 'PROPN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'VERB', 'NOUN', 'PROPN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'NOUN', 'PROPN', 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'PUNCT']"
2,"Sarah: ""这个 checkout flow 有个 bug, 用户在 Safari 上卡住.""
Li: ""我 reproduce 了一下，好像是 localStorage 没 properly update.""
Sarah: ""那我们要不要加个小 workaround?""
Li: ""可以，写个 fallback logic. 我晚点 push 到 branch.""
Sarah: ""行，等你 push 完我来 review PR.""
Li: ""Review 后尽快 merge，不然 QA 没法继续测.""",LLM,"['Persona-based', 'Few-shot']",GPT-4,"You are an expert dataset generator for bilingual English–Mandarin code-switched technical dialogues. Act as a frontend engineer from Shanghai now working in San Francisco. You naturally mix English technical terms into Mandarin sentences, and sometimes switch whole phrases to English when it feels natural. Keep the tone pragmatic, casual, like real engineers chatting.
Few-shot examples:
Example 1:
A: ""Can you push the latest styles to staging?""
B: ""可以，我现在就 push. 不过 header 在 mobile 上看起来有点 weird.""
Example 2:
A: ""There's a bug in the login flow after the OAuth change.""
B: ""看一下 redirect URI, scope 好像没有 properly 设置.""
Example 3:
A: ""We need to ship before Friday's deadline.""
B: ""好，先 prioritize login 和 checkout, 其他功能可以等下个 sprint.""
Now: produce a dialogue between two engineers (Li and Sarah). Each dialogue should be 5–7 turns.
Requirements:
Use **English-Mandarin code-switching** at the **phrase level** (switch after a technical word or phrase).
Make sure at least one of the following trigger words appears in each dialogue: **deploy, build, bug, deadline, merge**.
Target ~35–50% Mandarin tokens per dialogue.
Use natural engineering register (issue, PR, deploy, QA, staging, workaround).
Keep turns short-to-medium.
Output only the dialogues. Do not repeat the few-shot examples.","['Sarah', ':', '""', '这个', 'checkout', 'flow', '有个', 'bug', ',', '用户在', 'Safari', '上卡住', '.', '""', '\n', 'Li', ':', '""', '我', 'reproduce', '了一下，好像是', 'localStorage', '没', 'properly', 'update', '.', '""', '\n', 'Sarah', ':', '""', '那我们要不要加个小', 'workaround', '?', '""', '\n', 'Li', ':', '""', '可以，写个', 'fallback', 'logic', '.', '我晚点', 'push', '到', 'branch', '.', '""', '\n', 'Sarah', ':', '""', '行，等你', 'push', '完我来', 'review', 'PR', '.', '""', '\n', 'Li', ':', '""', 'Review', '后尽快', 'merge，不然', 'QA', '没法继续测', '.', '""']","['PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'PROPN', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'ADJ', 'PROPN', 'VERB', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'X', 'VERB', 'PROPN', 'PROPN', 'PROPN', 'ADV', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'NUM', 'NOUN', 'NOUN', 'PUNCT', 'PROPN', 'VERB', 'PROPN', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'NOUN', 'VERB', 'ADV', 'NOUN', 'PROPN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'VERB', 'NOUN', 'NOUN', 'PROPN', 'NOUN', 'PUNCT', 'PUNCT']"
3,"Li: ""我们这周的 deadline 快到了，dashboard 还没 ready.""
Sarah: ""对，前端部分我还在 refactor chart component.""
Li: ""要不要先 cut 一个简单版？deploy 上去给 PM 看.""
Sarah: ""好，我可以先把 basic filters 留着，其他 advance 的先砍掉.""
Li: ""这样至少能 meet deadline，剩下的功能下个 sprint 加.""
Sarah: ""Sounds good，我马上 push 到 staging branch.""",LLM,"['Persona-based', 'Few-shot']",GPT-4,"You are an expert dataset generator for bilingual English–Mandarin code-switched technical dialogues. Act as a frontend engineer from Shanghai now working in San Francisco. You naturally mix English technical terms into Mandarin sentences, and sometimes switch whole phrases to English when it feels natural. Keep the tone pragmatic, casual, like real engineers chatting.
Few-shot examples:
Example 1:
A: ""Can you push the latest styles to staging?""
B: ""可以，我现在就 push. 不过 header 在 mobile 上看起来有点 weird.""
Example 2:
A: ""There's a bug in the login flow after the OAuth change.""
B: ""看一下 redirect URI, scope 好像没有 properly 设置.""
Example 3:
A: ""We need to ship before Friday's deadline.""
B: ""好，先 prioritize login 和 checkout, 其他功能可以等下个 sprint.""
Now: produce a dialogue between two engineers (Li and Sarah). Each dialogue should be 5–7 turns.
Requirements:
Use **English-Mandarin code-switching** at the **phrase level** (switch after a technical word or phrase).
Make sure at least one of the following trigger words appears in each dialogue: **deploy, build, bug, deadline, merge**.
Target ~35–50% Mandarin tokens per dialogue.
Use natural engineering register (issue, PR, deploy, QA, staging, workaround).
Keep turns short-to-medium.
Output only the dialogues. Do not repeat the few-shot examples.","['Li', ':', '""', '我们这周的', 'deadline', '快到了，dashboard', '还没', 'ready', '.', '""', '\n', 'Sarah', ':', '""', '对，前端部分我还在', 'refactor', 'chart', 'component', '.', '""', '\n', 'Li', ':', '""', '要不要先', 'cut', '一个简单版？deploy', '上去给', 'PM', '看', '.', '""', '\n', 'Sarah', ':', '""', '好，我可以先把', 'basic', 'filters', '留着，其他', 'advance', '的先砍掉', '.', '""', '\n', 'Li', ':', '""', '这样至少能', 'meet', 'deadline，剩下的功能下个', 'sprint', '加', '.', '""', '\n', 'Sarah', ':', '""', 'Sounds', 'good，我马上', 'push', '到', 'staging', 'branch', '.', '""']","['PROPN', 'PUNCT', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'VERB', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'ADJ', 'NOUN', 'PROPN', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'VERB', 'VERB', 'NOUN', 'PROPN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'NOUN', 'X', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT']"
4,"Sarah: ""昨天的 merge 把 config 搞坏了，production deploy fail 了.""
Li: ""啊？我以为 QA 都 pass 了才 merge 的.""
Sarah: ""QA pass 了，但 prod config file 不一样.""
Li: ""那我们要 hotfix 吗？""
Sarah: ""Yeah，先开个小 patch branch，改 config 再 redeploy.""
Li: ""我来处理，你帮忙 double-check 环境变量.""
Sarah: ""OK, 我会在 Slack 上 confirm 一下.""",LLM,"['Persona-based', 'Few-shot']",GPT-4,"You are an expert dataset generator for bilingual English–Mandarin code-switched technical dialogues. Act as a frontend engineer from Shanghai now working in San Francisco. You naturally mix English technical terms into Mandarin sentences, and sometimes switch whole phrases to English when it feels natural. Keep the tone pragmatic, casual, like real engineers chatting.
Few-shot examples:
Example 1:
A: ""Can you push the latest styles to staging?""
B: ""可以，我现在就 push. 不过 header 在 mobile 上看起来有点 weird.""
Example 2:
A: ""There's a bug in the login flow after the OAuth change.""
B: ""看一下 redirect URI, scope 好像没有 properly 设置.""
Example 3:
A: ""We need to ship before Friday's deadline.""
B: ""好，先 prioritize login 和 checkout, 其他功能可以等下个 sprint.""
Now: produce a dialogue between two engineers (Li and Sarah). Each dialogue should be 5–7 turns.
Requirements:
Use **English-Mandarin code-switching** at the **phrase level** (switch after a technical word or phrase).
Make sure at least one of the following trigger words appears in each dialogue: **deploy, build, bug, deadline, merge**.
Target ~35–50% Mandarin tokens per dialogue.
Use natural engineering register (issue, PR, deploy, QA, staging, workaround).
Keep turns short-to-medium.
Output only the dialogues. Do not repeat the few-shot examples.","['Sarah', ':', '""', '昨天的', 'merge', '把', 'config', '搞坏了，production', 'deploy', 'fail', '了', '.', '""', '\n', 'Li', ':', '""', '啊？我以为', 'QA', '都', 'pass', '了才', 'merge', '的', '.', '""', '\n', 'Sarah', ':', '""', 'QA', 'pass', '了，但', 'prod', 'config', 'file', '不一样', '.', '""', '\n', 'Li', ':', '""', '那我们要', 'hotfix', '吗', '？', '""', '\n', 'Sarah', ':', '""', 'Yeah，先开个小', 'patch', 'branch，改', 'config', '再', 'redeploy', '.', '""', '\n', 'Li', ':', '""', '我来处理，你帮忙', 'double', '-', 'check', '环境变量', '.', '""', '\n', 'Sarah', ':', '""', 'OK', ',', '我会在', 'Slack', '上', 'confirm', '一下', '.', '""']","['PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'NOUN', 'PROPN', 'NOUN', 'PROPN', 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'ADP', 'PROPN', 'X', 'NOUN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'VERB', 'PROPN', 'NOUN', 'PROPN', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'ADJ', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'NOUN', 'VERB', 'VERB', 'PROPN', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'ADJ', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'INTJ', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'NOUN', 'PUNCT', 'PUNCT']"
5,"Li: ""Login 页面 layout 在 Android 上 broken, user report 一个 bug.""
Sarah: ""我看了下，是 CSS flex 在 old Chrome version 不支持.""
Li: ""那要不要写个 polyfill, 或者直接改成 grid?""
Sarah: ""Grid 更 stable, 我可以马上 build 一版.""
Li: ""Build 完 push 到 feature branch, 我来 test.""
Sarah: ""好，等你确认没问题，我们 merge 后 deploy staging.""
Li: ""OK，赶紧搞定，不然 QA 会卡住.""",LLM,"['Persona-based', 'Few-shot']",GPT-4,"You are an expert dataset generator for bilingual English–Mandarin code-switched technical dialogues. Act as a frontend engineer from Shanghai now working in San Francisco. You naturally mix English technical terms into Mandarin sentences, and sometimes switch whole phrases to English when it feels natural. Keep the tone pragmatic, casual, like real engineers chatting.
Few-shot examples:
Example 1:
A: ""Can you push the latest styles to staging?""
B: ""可以，我现在就 push. 不过 header 在 mobile 上看起来有点 weird.""
Example 2:
A: ""There's a bug in the login flow after the OAuth change.""
B: ""看一下 redirect URI, scope 好像没有 properly 设置.""
Example 3:
A: ""We need to ship before Friday's deadline.""
B: ""好，先 prioritize login 和 checkout, 其他功能可以等下个 sprint.""
Now: produce a dialogue between two engineers (Li and Sarah). Each dialogue should be 5–7 turns.
Requirements:
Use **English-Mandarin code-switching** at the **phrase level** (switch after a technical word or phrase).
Make sure at least one of the following trigger words appears in each dialogue: **deploy, build, bug, deadline, merge**.
Target ~35–50% Mandarin tokens per dialogue.
Use natural engineering register (issue, PR, deploy, QA, staging, workaround).
Keep turns short-to-medium.
Output only the dialogues. Do not repeat the few-shot examples.","['Li', ':', '""', 'Login', '页面', 'layout', '在', 'Android', '上', 'broken', ',', 'user', 'report', '一个', 'bug', '.', '""', '\n', 'Sarah', ':', '""', '我看了下，是', 'CSS', 'flex', '在', 'old', 'Chrome', 'version', '不支持', '.', '""', '\n', 'Li', ':', '""', '那要不要写个', 'polyfill', ',', '或者直接改成', 'grid', '?', '""', '\n', 'Sarah', ':', '""', 'Grid', '更', 'stable', ',', '我可以马上', 'build', '一版', '.', '""', '\n', 'Li', ':', '""', 'Build', '完', 'push', '到', 'feature', 'branch', ',', '我来', 'test', '.', '""', '\n', 'Sarah', ':', '""', '好，等你确认没问题，我们', 'merge', '后', 'deploy', 'staging', '.', '""', '\n', 'Li', ':', '""', 'OK，赶紧搞定，不然', 'QA', '会卡住', '.', '""']","['PROPN', 'PUNCT', 'PUNCT', 'VERB', 'NOUN', 'NOUN', 'PUNCT', 'PROPN', 'VERB', 'VERB', 'PUNCT', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'X', 'NOUN', 'ADJ', 'PROPN', 'ADJ', 'PROPN', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'X', 'ADJ', 'PUNCT', 'AUX', 'NOUN', 'PROPN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'VERB', 'VERB', 'PROPN', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'PRON', 'PROPN', 'NOUN', 'PUNCT', 'PUNCT']"
6,"Chen: ""We saw latency spikes after 11 PM.""
John: ""Yes, cache miss rate went up sharply.""
Chen: ""这是昨天晚上 deploy 引起的.""
John: ""Right, we should rollback 那个 microservice.""
Chen: ""好的，我准备 rollback plan 并通知 infra.""
John: ""I'll add monitoring 指标 for cache hits.""",LLM,"['Persona-based', 'Chain of Thought']",GPT-4,You are a senior bilingual engineer (Chen) from Beijing working on distributed systems in Seattle. Write English-Mandarin code-switched dialogues reflecting real engineering reasoning. Chen is precise and professional but mixes Mandarin naturally in work chats.,"['Chen', ':', '""', 'We', 'saw', 'latency', 'spikes', 'after', '11', 'PM', '.', '""', '\n', 'John', ':', '""', 'Yes', ',', 'cache', 'miss', 'rate', 'went', 'up', 'sharply', '.', '""', '\n', 'Chen', ':', '""', '这是昨天晚上', 'deploy', '引起的', '.', '""', '\n', 'John', ':', '""', 'Right', ',', 'we', 'should', 'rollback', '那个', 'microservice', '.', '""', '\n', 'Chen', ':', '""', '好的，我准备', 'rollback', 'plan', '并通知', 'infra', '.', '""', '\n', 'John', ':', '""', 'I', ""'ll"", 'add', 'monitoring', '指标', 'for', 'cache', 'hits', '.', '""']","['PROPN', 'PUNCT', 'PUNCT', 'PRON', 'VERB', 'NOUN', 'NOUN', 'ADP', 'NUM', 'PROPN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'INTJ', 'PUNCT', 'NOUN', 'PROPN', 'NOUN', 'VERB', 'ADP', 'ADV', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'NOUN', 'VERB', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'INTJ', 'PUNCT', 'PRON', 'AUX', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'PRON', 'AUX', 'VERB', 'NOUN', 'ADV', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT']"
7,"Chen: ""The timeout logic is fine, but circuit breaker 配置太 aggressive.""
John: ""It trips after two failures, 然后导致级联错误.""
Chen: ""我们应该加 threshold 并且 implement exponential backoff.""
John: ""Right — client retries 现在是 sync, 要改成 async.""
Chen: ""我来 patch client lib 并更新 doc.""
John: ""Perfect, 那我们就能 benchmark 修复效果.""",LLM,"['Persona-based', 'Chain of Thought']",GPT-4,You are a senior bilingual engineer (Chen) from Beijing working on distributed systems in Seattle. Write English-Mandarin code-switched dialogues reflecting real engineering reasoning. Chen is precise and professional but mixes Mandarin naturally in work chats.,"['Chen', ':', '""', 'The', 'timeout', 'logic', 'is', 'fine', ',', 'but', 'circuit', 'breaker', '配置太', 'aggressive', '.', '""', '\n', 'John', ':', '""', 'It', 'trips', 'after', 'two', 'failures', ',', '然后导致级联错误', '.', '""', '\n', 'Chen', ':', '""', '我们应该加', 'threshold', '并且', 'implement', 'exponential', 'backoff', '.', '""', '\n', 'John', ':', '""', 'Right', '—', 'client', 'retries', '现在是', 'sync', ',', '要改成', 'async', '.', '""', '\n', 'Chen', ':', '""', '我来', 'patch', 'client', 'lib', '并更新', 'doc', '.', '""', '\n', 'John', ':', '""', 'Perfect', ',', '那我们就能', 'benchmark', '修复效果', '.', '""']","['PROPN', 'PUNCT', 'PUNCT', 'DET', 'NOUN', 'NOUN', 'AUX', 'ADJ', 'PUNCT', 'CCONJ', 'NOUN', 'NOUN', 'PROPN', 'ADJ', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'PRON', 'VERB', 'ADP', 'NUM', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'NOUN', 'PROPN', 'PROPN', 'ADJ', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'ADJ', 'PUNCT', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'ADJ', 'PUNCT', 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'PUNCT']"
8,"Chen: ""This API contract is incompatible, 对吧?""
John: ""对，他们忘了加 version.""
Chen: ""We need a migration path, 是不是?""
John: ""Exactly — deprecate 老接口然后加个 shim.""
Chen: ""我写 migration plan, maintain dual writes 两个 sprint.""
John: ""我联系 SDK team 确保他们 clients 不会 break.""",LLM,"['Persona-based', 'Chain of Thought']",GPT-4,You are a senior bilingual engineer (Chen) from Beijing working on distributed systems in Seattle. Write English-Mandarin code-switched dialogues reflecting real engineering reasoning. Chen is precise and professional but mixes Mandarin naturally in work chats.,"['Chen', ':', '""', 'This', 'API', 'contract', 'is', 'incompatible', ',', '对吧', '?', '""', '\n', 'John', ':', '""', '对，他们忘了加', 'version', '.', '""', '\n', 'Chen', ':', '""', 'We', 'need', 'a', 'migration', 'path', ',', '是不是', '?', '""', '\n', 'John', ':', '""', 'Exactly', '—', 'deprecate', '老接口然后加个', 'shim', '.', '""', '\n', 'Chen', ':', '""', '我写', 'migration', 'plan', ',', 'maintain', 'dual', 'writes', '两个', 'sprint', '.', '""', '\n', 'John', ':', '""', '我联系', 'SDK', 'team', '确保他们', 'clients', '不会', 'break', '.', '""']","['PROPN', 'PUNCT', 'PUNCT', 'DET', 'NOUN', 'NOUN', 'AUX', 'ADJ', 'PUNCT', 'ADJ', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'PRON', 'VERB', 'DET', 'NOUN', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'ADV', 'PUNCT', 'NOUN', 'VERB', 'PRON', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'ADJ', 'PROPN', 'NOUN', 'PROPN', 'NOUN', 'PROPN', 'PROPN', 'PUNCT', 'PUNCT']"
9,"Chen: ""There's a payment bug after tokenization.""
John: ""Token service fails 在某些卡类型.""
Chen: ""先 hotfix, long-term 再重构.""
John: ""我加 logging 并且启用 A/B test 来验证.""
Chen: ""Staging pass 后 we deploy to prod.""
John: ""好，我也准备 rollback steps 以防万一.""",LLM,"['Persona-based', 'Chain of Thought']",GPT-4,You are a senior bilingual engineer (Chen) from Beijing working on distributed systems in Seattle. Write English-Mandarin code-switched dialogues reflecting real engineering reasoning. Chen is precise and professional but mixes Mandarin naturally in work chats.,"['Chen', ':', '""', 'There', ""'s"", 'a', 'payment', 'bug', 'after', 'tokenization', '.', '""', '\n', 'John', ':', '""', 'Token', 'service', 'fails', '在某些卡类型', '.', '""', '\n', 'Chen', ':', '""', '先', 'hotfix', ',', 'long', '-', 'term', '再重构', '.', '""', '\n', 'John', ':', '""', '我加', 'logging', '并且启用', 'A', '/', 'B', 'test', '来验证', '.', '""', '\n', 'Chen', ':', '""', 'Staging', 'pass', '后', 'we', 'deploy', 'to', 'prod', '.', '""', '\n', 'John', ':', '""', '好，我也准备', 'rollback', 'steps', '以防万一', '.', '""']","['PROPN', 'PUNCT', 'PUNCT', 'PRON', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'ADJ', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'ADP', 'VERB', 'NOUN', 'PROPN', 'SYM', 'PROPN', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'VERB', 'VERB', 'NOUN', 'PRON', 'VERB', 'ADP', 'PROPN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT']"
10,"A: ""I'll deploy 新 feature branch this afternoon.""
B: ""好，别忘了 to run smoke tests.""
A: ""If pass, 我就 tag release 并通知 QA.""
B: ""Perfect, 然后我们就 deploy.""",LLM,"['Few-shot', 'Chain-of-Thought']",GPT-4,"Generate English-Mandarin code-switched dialogues showing micro-level switching patterns. Few-shot examples:
Template 1 (verb-boundary):
A: ""I'm going to deploy 新分支 right now.""
B: ""好，记得 to bump version number.""
Template 2 (idiom + switch):
A: ""That fix is a 临时方案 but it works.""
B: ""是的，不过我们得做 proper refactor.""
Template 3 (phrasal-trigger):
A: ""If cache misses, call fallback.""
B: ""如果这样, we'll log event 并且 alert team.""
Pattern: verb-boundary.","['A', ':', '""', 'I', ""'ll"", 'deploy', '新', 'feature', 'branch', 'this', 'afternoon', '.', '""', '\n', 'B', ':', '""', '好，别忘了', 'to', 'run', 'smoke', 'tests', '.', '""', '\n', 'A', ':', '""', 'If', 'pass', ',', '我就', 'tag', 'release', '并通知', 'QA', '.', '""', '\n', 'B', ':', '""', 'Perfect', ',', '然后我们就', 'deploy', '.', '""']","['NOUN', 'PUNCT', 'PUNCT', 'PRON', 'AUX', 'VERB', 'PROPN', 'NOUN', 'NOUN', 'DET', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'NOUN', 'PART', 'VERB', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'SPACE', 'NOUN', 'PUNCT', 'PUNCT', 'SCONJ', 'VERB', 'PUNCT', 'INTJ', 'NOUN', 'NOUN', 'PROPN', 'PROPN', 'PUNCT', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'PUNCT']"
